cnty,percent_male10,med_age10,percent_black10,percent_white10,total_pop10,pop_density10,log_pop_density10,rep_pre_2008,rep_pre_2012,rep_sen_2010,rep_hou_2010,main_protestant10,evan_protestant10,catholic10,med_house_val0509,med_house_income0509,below_poverty0509,high_school0509,bac0509,grad0509,married0509,divorced0509,separated0509,other_language0509,foreign_born0509,same_sex0509,murderrate2008,robberyrate2008,agasltrate2008,percent_physically_inactive_chr12,motorvehicle_mortality_rate_chr12,year_potential_life_lost_rate_chr12,percent_excessive_drinking_chr12,percent_smokers_chr12,physically_unhealthy_days_chr12,mentally_unhealthy_days_chr12,percent_fair_or_poor_chr12,percent_obese_chr12,ls09_10_avg,elev,maxtemp0610,mintemp0610,max_heat_index0610,sunlight0610,precipitation0610,Land Area km²,Water Area km²,Total Area km²,Latitude,Longitude 
1031,49.4,37.6,16.7,74.7,49948,73.6,4.29865,0.252335,73.9922,0.777198,0.571513,69.2089,518.32,31.03,113500.0,41973.0,16.1,79.0,21.5,7.9,56.1,12.3,2.5,5.7,4.4,0.4,3.26872e-05,0.00160167,0.00202661,28.6,25.0247,9293.38,11.3,19.4,3.6,4.2,21.0,32.1,3.41102,130.0,76.39,56.64,1000.0,18062.1,4.11,1758.529,3.945,1762.474,31.402183,-85.989201
1033,48.1,41.8,16.1,80.5,54428,91.8,4.51961,0.390573,59.4438,0.593656,0.507232,61.88,546.759,26.0,92900.0,39366.0,14.0,79.8,16.9,5.9,56.9,11.3,1.7,2.3,1.4,0.3,3.65985e-05,0.00106136,0.00484931,34.7,24.2895,10432.4,8.4,27.9,4.7,4.4,23.6,33.1,3.38867,212.0,72.1,53.5,936.0,16803.2,3.19,1534.877,76.431,1611.308,34.703112,-87.801457
1035,48.5,43.0,46.5,51.3,13228,15.6,2.74727,0.493879,48.9537,0.529231,0.385836,74.1589,324.839,,67800.0,27216.0,29.0,73.3,9.2,3.9,54.3,10.2,1.5,1.5,0.1,0.0,7.98531e-05,7.98531e-05,0.00199633,36.1,53.4108,11541.7,5.9,19.6,4.7,3.8,17.4,33.0,3.34553,73.0,76.57,56.48,1012.0,18018.0,4.02,2201.895,6.645,2208.54,31.428293,-86.992029
1037,49.6,44.2,31.0,66.3,11539,17.7,2.87356,0.408592,57.7243,0.564861,0.588516,50.0,362.25,,68800.0,33595.0,20.1,71.9,9.2,3.6,55.1,13.2,2.5,1.4,0.7,0.2,,,,34.8,38.1568,11911.9,8.6,,3.4,3.4,24.9,33.8,,164.0,74.01,54.57,908.0,17594.2,3.61,1685.891,39.947,1725.838,32.931445,-86.243482
1039,48.4,42.4,12.5,84.8,37765,36.6,3.60005,0.205232,78.7162,0.807476,0.585021,55.42,530.97,7.71,80100.0,33278.0,18.1,75.6,13.2,4.7,53.3,10.9,2.8,1.8,1.0,0.2,5.4019e-05,0.000297105,0.00172861,37.3,35.9252,10720.1,12.4,28.8,3.5,4.0,21.0,36.4,3.3995,75.0,76.67,56.11,1013.0,18046.2,4.68,2668.87,34.526,2703.396,31.243987,-86.448721
1041,48.3,40.7,23.4,72.6,13906,22.8,3.12676,0.308059,67.4191,0.709111,0.454496,62.92,535.159,,70600.0,31058.0,21.9,72.4,11.2,4.0,50.6,12.2,2.6,4.2,3.7,0.0,7.84929e-05,7.84929e-05,0.00164835,33.5,37.5563,11078.7,,18.2,4.5,3.6,22.9,37.2,3.40093,108.0,75.8,55.45,982.0,18013.0,4.07,1576.888,5.376,1582.264,31.732826,-86.319222
1043,49.4,39.9,1.1,94.7,80406,109.4,4.69501,0.166095,83.9213,0.804643,0.989783,45.99,669.889,57.38,103600.0,38394.0,16.6,75.2,13.3,5.1,56.3,12.8,2.6,4.1,2.3,0.3,1.51453e-05,0.000121163,0.00168113,29.4,36.779,9846.35,7.0,24.8,4.4,4.7,20.9,32.0,3.39591,203.0,72.41,52.8,870.0,16845.2,3.55,1903.228,52.267,1955.495,34.131923,-86.869267
1045,49.4,36.1,19.3,74.1,50251,89.6,4.49536,0.272774,70.4693,0.761414,0.508522,73.87,357.779,5.53,88800.0,42225.0,14.2,83.3,16.6,5.3,57.2,12.6,2.0,5.7,3.3,0.6,0.0,0.00082398,0.00282826,31.3,21.982,9125.72,16.8,26.2,4.7,4.0,23.7,35.6,3.41266,90.0,76.7,56.92,1006.0,18057.9,3.59,1453.371,4.016,1457.388,31.430654,-85.609476
1047,46.2,37.7,69.4,29.1,43820,44.8,3.80221,0.670727,29.9943,0.343764,0.295385,55.64,382.569,12.23,70300.0,26442.0,32.0,75.3,13.9,5.6,40.6,11.2,4.0,1.7,0.9,0.2,0.000116839,0.00175258,0.00549142,34.0,30.9906,14640.8,11.5,20.3,4.0,3.6,27.2,41.4,3.38259,33.0,76.6,54.72,1085.0,17839.1,3.51,2534.807,39.135,2573.942,32.33354,-87.114356
1049,49.4,37.5,1.5,84.5,71109,91.5,4.51634,0.235603,76.5386,0.72855,1.0,55.2,457.55,37.3689,80300.0,33634.0,20.9,66.7,10.2,4.1,57.6,12.1,2.1,9.2,6.0,0.1,2.91571e-05,0.000218678,0.00145785,27.5,29.5226,9621.2,10.7,19.7,4.6,5.2,21.4,33.9,3.37627,390.0,69.95,52.37,668.0,16553.8,3.12,2012.662,4.124,2016.786,34.460929,-85.803992
1051,48.8,37.8,20.0,76.2,79303,128.2,4.85359,0.241906,73.8564,0.787642,0.653679,74.42,356.04,8.53889,131400.0,52971.0,13.1,83.1,18.8,6.3,51.5,12.1,2.5,3.4,1.9,0.5,2.5242e-05,0.000454356,0.00108541,31.7,24.0002,8753.07,9.2,20.1,4.4,3.8,17.9,31.5,3.40753,104.0,75.42,55.08,1019.0,17730.1,3.64,1601.868,99.863,1701.73,32.597229,-86.142739
1053,51.6,39.2,31.9,62.1,38319,40.5,3.7013,0.35355,62.354,0.684838,0.873814,48.25,467.569,13.83,81100.0,32321.0,22.8,74.0,11.2,3.6,50.2,10.4,2.8,1.6,1.0,0.1,7.98318e-05,0.000931371,0.00404481,37.6,40.2433,10701.9,6.3,22.8,4.6,3.6,26.5,35.5,3.36985,56.0,77.01,56.8,1018.0,18077.7,4.01,2447.747,20.873,2468.62,31.121748,-87.168429
1055,48.5,40.2,15.1,80.3,104430,195.2,5.27402,0.301697,68.3418,0.695373,0.981356,55.6889,615.879,73.01,95300.0,36378.0,16.3,80.5,15.5,5.7,55.3,12.7,2.7,2.9,2.3,0.3,5.09814e-05,0.00150905,0.00181494,34.2,24.4996,12083.7,11.5,26.9,4.7,4.6,21.0,32.1,3.36429,237.0,72.51,53.05,854.0,16806.8,3.02,1385.619,35.323,1420.942,34.047638,-86.03442
1057,49.3,42.5,11.4,86.5,17241,27.5,3.31419,0.250597,76.0744,0.735186,0.987177,46.1089,550.429,5.21889,71400.0,35754.0,16.1,74.9,9.7,3.7,58.9,10.6,2.3,2.0,0.5,0.2,5.68634e-05,0.000398044,0.000796088,32.7,38.7836,11907.0,3.6,18.0,6.4,5.3,29.2,36.5,3.38447,134.0,73.86,53.84,984.0,17305.0,3.7,1625.632,4.393,1630.024,33.732249,-87.752049
1059,49.9,37.8,3.9,83.0,31704,50.0,3.91202,0.296673,69.5432,0.649872,0.985377,37.6889,527.789,46.8989,76700.0,33380.0,18.4,68.5,11.6,4.9,59.6,11.0,2.7,11.1,7.9,0.6,3.28861e-05,0.000361747,0.00147987,37.2,36.2285,12312.3,6.6,,7.6,4.6,23.4,31.2,3.38101,257.0,71.98,53.27,881.0,16799.8,3.18,1641.588,32.898,1674.486,34.441988,-87.842815
1061,48.9,42.0,9.5,86.3,26790,46.6,3.8416,0.183066,80.9725,0.816653,0.546519,73.1589,478.05,1.87,71500.0,31055.0,16.1,72.4,8.4,3.0,53.7,13.4,2.5,3.2,1.5,0.1,0.0,0.00034273,0.00192785,35.3,34.516,9787.22,9.1,,3.8,3.0,23.2,35.5,3.40657,45.0,77.47,56.7,1045.0,18132.7,3.84,1487.71,11.765,1499.476,31.090866,-85.824346
1063,47.2,41.8,81.5,17.4,9045,14.0,2.63906,0.830914,15.0477,0.184901,0.144921,41.46,125.37,4.08889,71700.0,22352.0,31.2,68.6,9.2,4.3,36.9,9.3,6.2,1.0,0.7,0.1,,,,38.0,34.2828,12690.4,,,4.4,5.3,22.0,47.6,,63.0,76.08,53.89,1117.0,17793.9,3.48,1676.007,33.231,1709.238,32.844497,-87.964201
1065,47.4,40.0,59.0,39.8,15760,24.5,3.19867,0.606525,37.1227,0.397093,0.331287,87.9389,276.779,1.59,70900.0,29841.0,25.7,68.7,9.1,3.7,37.9,12.5,3.3,1.9,0.9,0.5,0.000128312,0.000449092,0.00404183,35.6,38.7508,12314.3,8.0,,4.3,3.7,24.8,43.5,3.37592,72.0,76.09,54.19,1092.0,17712.8,3.58,1667.804,32.526,1700.33,32.752796,-87.623061
1067,48.0,42.8,28.6,68.6,17302,30.8,3.42751,0.348982,64.2026,0.666617,0.471439,52.25,348.23,,88500.0,35792.0,15.6,74.8,13.7,4.6,50.6,10.3,2.7,3.2,2.5,0.0,5.99161e-05,0.000239664,0.00269622,30.9,34.4958,10743.8,3.8,20.0,3.9,3.7,19.5,33.7,3.38243,96.0,76.57,56.76,1000.0,18012.9,3.5,1454.926,16.987,1471.913,31.516978,-85.239971
1069,48.0,38.5,25.8,70.0,101547,175.1,5.16536,0.29292,69.717,0.745353,0.537686,120.579,595.649,25.12,111300.0,41096.0,16.0,81.3,19.4,6.9,51.1,13.2,2.6,3.6,1.8,0.4,3.10913e-05,0.00205203,0.00197948,33.1,19.3972,9006.82,10.7,19.5,4.2,4.3,19.5,33.0,3.36692,75.0,77.68,56.94,1040.0,18155.5,3.41,1501.738,4.74,1506.478,31.158193,-85.296398
1071,49.1,41.4,3.3,90.8,53227,49.4,3.89995,0.305356,69.9835,0.694953,0.545682,39.75,453.079,28.46,84200.0,35073.0,17.7,73.1,11.3,3.9,57.3,12.8,2.6,2.7,1.3,0.3,0.0,0.0,0.00229239,30.1,36.7788,11430.8,7.3,26.6,5.6,5.4,26.6,30.5,3.37546,401.0,70.37,52.02,737.0,16447.1,3.06,2791.665,126.657,2918.322,34.763522,-85.9774
1073,47.4,37.1,42.0,53.0,658466,592.5,6.38435,0.521534,46.5262,0.533321,0.595098,101.81,469.25,83.65,132700.0,44718.0,15.2,86.1,28.1,10.5,46.5,11.8,2.6,5.4,3.8,0.5,0.000161556,0.00378742,0.00374779,29.2,19.1323,11049.1,14.5,22.1,3.5,3.6,16.5,32.0,3.37859,175.0,73.78,54.17,945.0,17120.5,3.45,2878.192,32.474,2910.667,33.553444,-86.896536
1075,48.7,43.5,11.3,86.7,14564,24.1,3.18221,0.228127,76.0452,0.746113,0.989833,72.4389,611.23,,64100.0,31094.0,17.1,74.8,9.0,3.3,57.1,12.7,1.7,1.5,0.5,0.4,0.0,0.00104004,0.00156006,35.6,31.7699,10479.5,,,6.3,5.5,27.6,32.2,3.38676,93.0,74.26,53.1,1029.0,17333.6,3.59,1566.545,1.601,1568.145,33.787085,-88.087431
1077,47.9,40.4,10.0,86.4,92709,138.8,4.93303,0.349806,64.5685,0.661078,0.571547,87.14,441.839,21.01,100600.0,37691.0,18.0,81.0,20.3,7.4,54.1,11.3,1.9,2.5,1.6,0.3,4.50369e-05,0.000776887,0.00141866,32.7,24.7207,8762.98,7.3,19.6,4.6,4.0,20.7,32.4,3.37059,210.0,71.55,53.06,906.0,16682.9,3.2,1729.328,138.027,1867.355,34.904122,-87.650997
1079,48.9,40.6,11.5,77.6,34339,49.7,3.906,0.351771,62.7226,0.61654,0.456209,34.2189,457.529,2.52889,92100.0,41472.0,12.4,75.0,10.3,2.9,61.0,9.8,2.1,2.2,1.5,0.3,0.0,8.76578e-05,0.00125643,36.0,35.2728,10501.7,7.7,24.6,4.1,4.3,24.0,38.1,3.38879,191.0,72.07,53.11,884.0,16769.4,3.35,1788.847,68.688,1857.535,34.529776,-87.321865
1081,49.3,29.5,22.7,71.3,140247,230.8,5.44155,0.395729,59.0759,0.637035,0.632741,108.739,214.55,20.48,131000.0,38588.0,20.2,84.6,30.7,13.4,43.8,8.2,2.1,5.2,3.9,0.4,4.51814e-05,0.00137803,0.00273348,27.4,16.9928,7421.97,19.1,22.0,3.6,4.3,18.4,30.0,3.40879,236.0,74.64,54.94,896.0,17622.5,3.38,1573.511,21.53,1595.041,32.604064,-85.353048
1083,50.6,38.4,12.6,80.3,82782,147.8,4.99586,0.284224,71.1733,0.754429,0.629414,59.1789,405.67,29.7389,115100.0,44997.0,12.8,79.1,18.2,5.6,52.9,13.3,3.2,5.0,3.2,0.5,1.3312e-05,0.000399361,0.00078541,31.3,29.8943,8227.43,8.9,21.4,3.9,3.1,16.6,31.4,3.42217,218.0,71.64,52.61,867.0,16617.1,3.2,1450.228,122.382,1572.61,34.810239,-86.9814
1085,46.8,40.6,73.5,25.3,11299,15.8,2.76001,0.748695,23.3418,0.302179,0.257181,133.819,215.86,,61800.0,30270.0,25.8,73.4,13.5,4.2,41.4,9.8,4.1,0.8,0.2,0.0,,,,38.1,54.7903,13154.9,16.5,22.5,5.2,5.0,32.6,44.6,,75.0,76.39,55.27,1067.0,17915.6,3.51,1854.2,23.724,1877.923,32.147888,-86.650586
1087,45.8,36.3,82.6,15.5,21452,35.2,3.56105,0.868806,12.803,0.169758,0.1666,54.2589,125.629,4.66,78700.0,26305.0,28.0,77.9,20.1,9.4,31.5,10.0,4.1,1.4,0.5,0.7,0.000229127,0.00146641,0.00774448,31.4,32.4097,15748.9,,13.0,3.6,2.5,26.4,41.4,3.3899,109.0,75.97,55.33,1024.0,17810.6,3.32,1577.005,11.194,1588.199,32.387027,-85.692887
1089,49.1,37.3,24.0,68.2,334811,417.7,6.03476,0.419342,58.4734,0.67586,0.589137,106.129,315.11,42.28,147700.0,54979.0,11.3,87.9,37.9,13.3,52.6,12.0,2.4,5.9,4.8,0.5,5.65943e-05,0.00152805,0.00293033,25.2,18.2564,8086.41,11.5,20.2,3.4,3.3,13.6,31.4,3.40179,272.0,71.18,52.39,825.0,16464.8,3.18,2076.117,28.771,2104.888,34.764238,-86.55108
1091,47.1,40.4,51.7,46.4,21027,21.5,3.06805,0.516607,46.2271,0.493658,0.427656,90.65,507.49,18.3589,76500.0,30819.0,26.7,79.9,15.7,4.8,42.5,13.4,3.9,0.8,0.3,1.0,0.000190177,0.000522988,0.00451671,35.4,29.421,9560.36,15.4,13.7,5.0,3.2,24.4,40.2,3.36451,68.0,76.78,54.54,1101.0,17950.2,3.63,2530.112,14.995,2545.107,32.247591,-87.791091
1093,49.7,42.8,3.8,93.6,30776,41.5,3.72569,0.210441,79.9489,0.751592,0.984855,47.4389,529.889,15.4,71500.0,32224.0,18.2,70.0,9.0,3.9,56.7,13.0,2.5,2.2,0.8,0.2,0.0,0.000203728,0.00166378,35.6,36.1591,11879.0,3.9,,4.6,4.4,21.2,32.7,3.38757,161.0,72.78,53.43,919.0,16992.7,3.42,1922.527,3.313,1925.84,34.138219,-87.881551
1095,49.3,38.2,1.6,87.6,93019,164.4,5.1023,0.212205,79.2397,0.816106,0.988965,84.5789,469.87,90.1089,98100.0,37396.0,20.3,73.2,14.7,5.3,55.3,12.8,2.2,9.3,6.7,0.2,2.25948e-05,0.00051968,0.00229337,32.3,28.121,11002.4,13.3,29.4,4.8,4.6,21.0,29.1,3.37696,192.0,71.5,52.42,802.0,16639.1,3.25,1465.523,148.503,1614.026,34.309564,-86.321668
1097,48.0,36.6,34.6,60.2,412992,335.9,5.81681,0.452978,54.1812,0.596819,0.823533,73.4,361.47,77.4889,113200.0,40476.0,19.1,82.1,19.7,6.8,48.6,11.9,3.0,4.6,3.0,0.5,0.000162497,0.00294495,0.00151497,30.6,25.7745,11140.2,14.2,24.1,4.4,4.5,21.8,31.7,3.37083,63.0,77.25,59.12,1061.0,18516.7,4.24,3184.223,1073.751,4257.974,30.684573,-88.196568
1099,48.2,40.1,41.7,55.1,23068,22.5,3.11352,0.446587,53.5691,0.594078,0.875452,59.6889,372.68,4.33889,81800.0,29810.0,25.0,76.2,11.5,3.7,51.0,12.5,3.6,1.6,0.6,0.6,9.39452e-05,0.000375781,0.00507304,31.8,36.5785,9788.4,12.3,17.4,5.0,4.0,21.0,35.5,3.38845,114.0,77.06,55.35,1034.0,17996.7,3.6,2656.485,22.643,2679.128,31.580332,-87.383266
1101,47.6,34.9,54.7,39.5,229363,292.5,5.67846,0.59351,37.5557,0.483676,0.429909,139.439,304.73,41.3289,116300.0,43015.0,17.8,84.3,30.5,12.2,43.0,12.0,2.7,4.1,2.9,0.5,0.000101518,0.00214954,0.00170816,29.6,17.8426,10128.1,13.3,19.6,3.8,3.5,18.5,34.1,3.40282,75.0,76.07,55.37,1051.0,17960.6,3.59,2031.191,40.571,2071.762,32.203651,-86.203831
1103,49.3,39.0,11.9,79.8,119490,206.3,5.32933,0.27492,71.5562,0.761766,0.780729,97.81,499.18,70.1289,109800.0,42913.0,15.4,81.3,19.6,6.1,57.1,11.9,2.0,5.9,4.5,0.2,5.1822e-05,0.00113145,0.00145965,27.2,22.3189,9001.92,9.5,27.4,3.9,3.8,13.8,32.9,3.38831,209.0,72.17,52.84,878.0,16736.1,3.37,1500.476,51.065,1551.541,34.454484,-86.846402
1105,47.0,37.2,68.7,30.3,10591,14.7,2.68785,0.723656,24.6845,0.284718,0.263074,88.3789,274.29,,60600.0,26270.0,23.8,73.0,11.6,5.5,42.3,7.1,3.3,1.1,0.2,0.5,,,,34.5,45.7631,14345.3,,20.1,6.3,3.7,30.1,40.2,,86.0,75.94,54.24,1059.0,17701.4,3.72,1863.92,10.919,1874.839,32.639005,-87.293827
1107,47.7,41.9,41.6,56.3,19746,22.4,3.10906,0.456343,53.2585,0.584962,0.610621,81.18,496.05,3.75,73700.0,27150.0,26.2,76.7,12.3,4.0,46.7,11.7,3.6,1.6,0.7,0.0,0.000105775,0.000317326,0.00243283,33.4,33.9744,11784.3,10.1,17.3,4.8,3.3,23.7,36.4,3.38768,88.0,75.27,53.33,1076.0,17594.2,3.54,2282.837,22.578,2305.415,33.296809,-88.096878
1109,47.7,31.4,36.6,58.2,32899,48.9,3.88978,0.421283,56.3832,0.630718,0.468841,74.23,306.939,6.54,85500.0,28065.0,29.1,76.9,22.2,8.8,42.8,9.8,4.0,3.6,2.5,0.1,7.21579e-05,0.00184003,0.000974131,32.4,33.6822,10702.5,9.2,22.9,4.9,3.8,23.4,36.9,3.38217,136.0,75.81,55.69,967.0,17973.7,3.66,1740.716,2.363,1743.078,31.798726,-85.941997
1111,48.5,41.2,20.1,76.5,22913,39.5,3.6763,0.295069,69.3216,0.683015,0.698479,86.3289,395.1,6.5,85500.0,35137.0,19.9,71.0,13.1,5.8,51.2,11.4,3.4,3.0,1.0,0.7,0.0,0.000229032,0.00100774,34.8,40.5479,11687.6,10.3,26.0,4.8,4.5,18.6,32.1,3.37092,294.0,72.75,53.24,797.0,17288.8,3.36,1503.617,9.285,1512.902,33.296475,-85.464068
1113,47.8,35.8,41.8,53.7,52947,82.6,4.41401,0.533175,43.7758,0.467783,0.47754,46.1589,446.67,30.12,91300.0,32064.0,21.8,75.9,11.9,4.0,45.8,14.3,4.5,3.6,1.8,0.2,3.97188e-05,0.000893673,0.00256186,36.9,27.0301,11929.1,,25.4,4.7,4.2,22.7,39.3,3.39521,114.0,75.96,55.62,1006.0,17840.0,3.32,1660.546,15.673,1676.219,32.289811,-85.18698
1115,50.1,38.6,8.6,88.2,83593,132.3,4.88507,0.178685,82.3925,0.833029,0.987123,34.17,407.519,12.63,119600.0,48425.0,11.3,78.9,14.5,5.0,54.8,13.2,2.1,2.3,1.5,0.3,2.53788e-05,0.000266477,0.00148466,35.2,22.6752,9712.7,11.4,27.0,4.1,3.9,18.9,35.6,3.39165,300.0,72.93,53.32,872.0,17014.5,3.35,1636.619,56.3,1692.919,33.712963,-86.315663
1117,49.0,36.9,10.6,83.0,195085,248.5,5.51544,0.227541,77.0266,0.826301,0.981125,82.4089,317.47,14.7789,188000.0,67534.0,6.4,91.5,39.9,12.1,60.9,10.2,1.1,6.1,4.5,0.4,1.61698e-05,0.000409635,0.000857,23.5,18.3563,6596.65,13.3,20.1,3.1,3.7,12.0,28.0,3.40435,192.0,73.9,54.43,945.0,17284.2,3.5,2032.96,63.701,2096.661,33.262937,-86.678104
